# Date, Artifact, Family

2022-07-12,2.56.57[.]130,2.56.56[.]0/22
2022-07-11,chochoinc07[.]bounceme[.]net,bounceme[.]net
2022-07-11,104.144.69[.]135,104.144.0[.]0/16
2022-07-11,sempersim[.]su,sempersim[.]su
2022-07-11,34.83.220[.]94,34.64.0[.]0/10
2022-07-11,anglemanagement[.]ddns[.]net,ddns[.]net
2022-07-11,136.144.41[.]76,136.144.64[.]0/18
2022-07-11,craigjonson99[.]zapto[.]org,zapto[.]org
2022-07-11,411speed[.]duckdns[.]org,duckdns[.]org
2022-07-11,lowaspeed[.]ddnsfree[.]com,ddnsfree[.]com
2022-07-11,194.5.98[.]219,194.5.98[.]0/24
2022-07-11,RealTopG-40301[.]portmap[.]io,portmap[.]io
2022-07-11,gyongglobaltradeltd[.]hopto[.]org,hopto[.]org
2022-07-11,91.193.75[.]132,91.193.75[.]0/24
2022-07-11,162.159.134[.]233,162.158.0[.]0/15
2022-07-11,nanodarkco[.]ddns[.]net,ddns[.]net
2022-07-11,176.144.83[.]6,176.128.0[.]0/10
2022-07-11,seatosea[.]duckdns[.]org,duckdns[.]org
2022-07-11,194.5.97[.]21,194.5.97[.]0/24
2022-07-11,kaywestro[.]duckdns[.]org,duckdns[.]org
2022-07-11,5.62.56[.]255,5.62.56[.]0/24
2022-07-11,rowdea[.]ddns[.]net,ddns[.]net
2022-06-30,suit1-fax[.]myhome-server[.]de,myhome-server[.]de
2022-06-30,185.165.153[.]209,NA
2022-06-30,ayranger8[.]ddns[.]net,ddns[.]net
2022-06-30,fastspeed[.]ddnsfree[.]com,ddnsfree[.]com
2022-06-30,91.192.100[.]37,91.192.100[.]0/22
2022-06-30,nonny55[.]3utilities[.]com,3utilities[.]com
2022-06-30,myhostplas12312[.]ddns[.]net,ddns[.]net
2022-06-30,6[.]tcp[.]eu[.]ngrok[.]io,ngrok[.]io
2022-06-30,52.28.247[.]255,52.0.0[.]0/10
2022-06-30,sussyamous34[.]ddns[.]net,ddns[.]net
2022-06-30,mphlabs[.]ddns[.]net,ddns[.]net
2022-06-30,174.52.65[.]101,174.48.0[.]0/12
2022-06-30,deranano5[.]ddns[.]net,ddns[.]net
2022-06-30,194.87.84[.]113,194.87.84[.]0/22
2022-06-30,stonecold[.]ddns[.]net,ddns[.]net
2022-06-30,185.140.53[.]138,185.140.53[.]0/24
2022-06-30,realtek31[.]ddns[.]net,ddns[.]net
2022-06-30,sylviaoslh01[.]ddns[.]net,ddns[.]net
2022-06-30,flammable[.]duckdns[.]org,duckdns[.]org
2022-06-30,91.192.100[.]23,91.192.100[.]0/22
2022-06-30,restartusa[.]hopto[.]org,hopto[.]org
2022-06-30,103.114.107[.]108,103.114.104[.]0/22
2022-06-30,helpout[.]duckdns[.]org,duckdns[.]org
2022-06-30,37.120.141[.]153,37.120.141[.]0/24
2022-06-30,alex419[.]duckdns[.]org,duckdns[.]org
2022-06-30,updatedhostlogs[.]duckdns[.]org,duckdns[.]org
2022-06-30,91.193.75[.]248,91.193.75[.]0/24
2022-06-30,nibiru3[.]duckdns[.]org,duckdns[.]org
2022-06-30,85.86.25[.]62,85.86.0[.]0/16
2022-06-14,146.70.76[.]43,146.70.0[.]0/16
2022-06-14,aleksanderbodhan[.]hopto[.]org,hopto[.]org
2022-06-14,oluwaboysharp[.]ddns[.]net,ddns[.]net
2022-06-14,194.5.98[.]160,194.5.98[.]0/24
2022-06-14,aleksanderbodhan159[.]hopto[.]org,hopto[.]org
2022-06-14,urregular[.]ddnsgeek[.]com,ddnsgeek[.]com
2022-06-14,46.1.54[.]232,46.1.48[.]0/21
2022-06-14,27.254.163[.]12,27.254.0[.]0/16
2022-06-14,0[.]tcp[.]ngrok[.]io,ngrok[.]io
2022-06-14,3.17.7[.]232,3.0.0[.]0/9
2022-06-14,loamy242[.]myddns[.]me,myddns[.]me
2022-06-14,arieshost[.]ddns[.]net,ddns[.]net
2022-06-14,23.105.131[.]196,23.104.0[.]0/16
2022-06-14,ayranger7[.]ddns[.]net,ddns[.]net
2022-06-14,23.229.34[.]114,23.229.0[.]0/17
2022-06-14,gameserver[.]duia[.]us,duia[.]us
2022-06-14,23.105.131[.]228,23.105.128[.]0/18
2022-06-14,grace147[.]duckdns[.]org,duckdns[.]org
2022-06-14,45.137.22[.]72,45.137.20[.]0/22
2022-06-14,blackbladeinc09[.]bounceme[.]net,bounceme[.]net
2022-06-14,85.202.169[.]14,85.202.168[.]0/23
2022-06-14,144.76.120[.]25,144.76.0[.]0/16
2022-06-14,nomansland[.]ddns[.]net,ddns[.]net
2022-06-14,185.140.53[.]132,185.140.53[.]0/24
2022-06-14,blessed147[.]ddns[.]net,ddns[.]net
2022-06-06,vpnozo[.]hopto[.]org,hopto[.]org
2022-06-06,23.105.131[.]237,23.105.128[.]0/18
2022-06-06,162.159.135[.]233,162.158.0[.]0/15
2022-06-06,212.193.30[.]23,212.193.28[.]0/22
2022-06-06,5.181.234[.]149,5.181.234[.]0/24
2022-06-01,lovemebygift[.]ddns[.]net,ddns[.]net
2022-05-30,184.75.223[.]235,184.75.208[.]0/20
2022-05-30,joyyce[.]ddns[.]net,ddns[.]net
2022-05-29,91.109.190[.]5,91.109.176[.]0/20
2022-05-29,goodmanp[.]ddns[.]net,ddns[.]net
2022-05-25,chongmei33[.]publicvm[.]com,publicvm[.]com
2022-05-25,175.138.182[.]55,175.138.0[.]0/16
2022-05-24,6[.]tcp[.]ngrok[.]io,ngrok[.]io
2022-05-24,3.141.210[.]37,3.128.0[.]0/9
2022-05-24,mallow[.]3utilities[.]com,3utilities[.]com
2022-05-24,deranano2[.]ddns[.]net,ddns[.]net
2022-05-24,212.193.30[.]204,212.193.28[.]0/22
2022-05-24,youngnonte[.]hopto[.]org,hopto[.]org
2022-05-24,197.211.53[.]23,197.211.53[.]0/24
2022-05-24,dinolachy[.]duckdns[.]org,duckdns[.]org
2022-05-24,iumobiliebackup[.]ddns[.]net,ddns[.]net
2022-05-24,185.140.53[.]174,185.140.53[.]0/24
2022-05-24,194.5.98[.]93,194.5.98[.]0/24
2022-05-13,khalil3131[.]ddns[.]net,ddns[.]net
2022-05-13,141.255.153[.]71,141.0.0[.]0/8
2022-05-13,ella666[.]duckdns[.]org,duckdns[.]org
2022-05-13,196.50.7[.]7,196.50.4[.]0/22
NA,1116[.]hopto[.]org,hopto[.]org
NA,1211[.]hopto[.]org,hopto[.]org
NA,2meonline[.]ddnsgeek[.]com,ddnsgeek[.]com
NA,55098hustlenow[.]hopto[.]org,hopto[.]org
NA,5876[.]hopto[.]org,hopto[.]org
NA,6262[.]hopto[.]org,hopto[.]org
NA,7567[.]ddns[.]net,ddns[.]net
NA,8[.]tcp[.]ngrok[.]io,ngrok[.]io
NA,9292[.]freemyip[.]com,freemyip[.]com
NA,9386[.]ddns[.]net,ddns[.]net
NA,99gramss[.]ddns[.]net,ddns[.]net
NA,alliedtrade54321[.]ddns[.]net,ddns[.]net
NA,americanmedicalassociation[.]online,americanmedicalassociation[.]online
NA,amilolo[.]ddns[.]net,ddns[.]net
NA,amoguscum[.]ddns[.]net,ddns[.]net
NA,amuokuku[.]duckdns[.]org,duckdns[.]org
NA,antivirus-helper[.]publicvm[.]com,publicvm[.]com
NA,arkseven702[.]ddns[.]net,ddns[.]net
NA,asorock0011[.]ddns[.]net,ddns[.]net
NA,azizurfattahtradings[.]duckdns[.]org,duckdns[.]org
NA,aztemglobaltradltd[.]ddns[.]net,ddns[.]net
NA,azuite1[.]ddns[.]net,ddns[.]net
NA,babacapa[.]duckdns[.]org,duckdns[.]org
NA,believe2021[.]ddns[.]net,ddns[.]net
NA,bigmoney2020[.]ath[.]cx,ath[.]cx
NA,billie4[.]ddns[.]net,ddns[.]net
NA,blackb[.]duckdns[.]org,duckdns[.]org
NA,blackbladeinc52[.]ddns[.]net,ddns[.]net
NA,bmn[.]lpmpbanten[.]id,lpmpbanten[.]id
NA,bnbnnjhjkii[.]ddns[.]net,ddns[.]net
NA,boboz[.]ddns[.]net,ddns[.]net
NA,bohem11[.]ddns[.]net,ddns[.]net
NA,boyhome5100[.]duckdns[.]org,duckdns[.]org
NA,brightnano2[.]ddns[.]net,ddns[.]net
NA,brightrawfile2[.]ddns[.]net,ddns[.]net
NA,btmebd[.]ddns[.]net,ddns[.]net
NA,budahhsegnemich88[.]home-webserver[.]de,home-webserver[.]de
NA,burdun[.]dynu[.]net,dynu[.]net
NA,cashlink[.]ddns[.]net,ddns[.]net
NA,childhome4100[.]duckdns[.]org,duckdns[.]org
NA,cloudhost[.]myfirewall[.]org,myfirewall[.]org
NA,coconuthead[.]ddns[.]net,ddns[.]net
NA,concideritdone[.]duckdns[.]org,duckdns[.]org
NA,coow[.]ddns[.]net,ddns[.]net
NA,cum[.]x24hr[.]com,x24hr[.]com
NA,cutixglobal[.]ddns[.]net,ddns[.]net
NA,dbgroup1[.]publicvm[.]com,publicvm[.]com
NA,deedee111[.]ddns[.]net,ddns[.]net
NA,dera31[.]ddns[.]net,ddns[.]net
NA,deranano1[.]ddns[.]net,ddns[.]net
NA,derarawfile10[.]ddns[.]net,ddns[.]net
NA,dogcat420[.]ddns[.]net,ddns[.]net
NA,doubleup[.]ddns[.]net,ddns[.]net
NA,drrkingsleym001[.]ddns[.]net,ddns[.]net
NA,e-businessloader[.]mywire[.]org,mywire[.]org
NA,ebuka19[.]ddns[.]net,ddns[.]net
NA,eezzyy[.]duckdns[.]org,duckdns[.]org
NA,emba[.]espielweinstein[.]pw,espielweinstein[.]pw
NA,emedoo[.]ddns[.]net,ddns[.]net
NA,emisparkle[.]duckdns[.]org,duckdns[.]org
NA,erickeith62[.]ddns[.]net,ddns[.]net
NA,eset-antivirus[.]ydns[.]eu,ydns[.]eu
NA,estrenos1a[.]duckdns[.]org,duckdns[.]org
NA,etoiilefiiilante[.]duckdns[.]org,duckdns[.]org
NA,ezeani[.]duckdns[.]org,duckdns[.]org
NA,forsondu92[.]ddns[.]net,ddns[.]net
NA,franexserve[.]duckdns[.]org,duckdns[.]org
NA,freeip666[.]ddns[.]net,ddns[.]net
NA,fridayom[.]duckdns[.]org,duckdns[.]org
NA,girlhomejan6100[.]duckdns[.]org,duckdns[.]org
NA,graceofgod[.]myftp[.]biz,myftp[.]biz
NA,greatman[.]hopto[.]org,hopto[.]org
NA,grosjeangerard[.]hopto[.]org,hopto[.]org
NA,hadkhadma[.]freeddns[.]org,freeddns[.]org
NA,harold[.]accesscam[.]org,accesscam[.]org
NA,hdstlindos[.]duckdns[.]org,duckdns[.]org
NA,hellomyfriend[.]ddns[.]net,ddns[.]net
NA,hemplife[.]ddns[.]net,ddns[.]net
NA,henzy[.]ddns[.]net,ddns[.]net
NA,home-comp-8390[.]dyn[.]home-webserver[.]de,home-webserver[.]de
NA,horizon112[.]3utilities[.]com,3utilities[.]com
NA,hulabalu411[.]ddns[.]net,ddns[.]net
NA,innocentbooii[.]hopto[.]org,hopto[.]org
NA,jamcav[.]duckdns[.]org,duckdns[.]org
NA,james12[.]ddns[.]net,ddns[.]net
NA,jamesskeithj[.]bounceme[.]net,bounceme[.]net
NA,jcfab[.]ddns[.]net,ddns[.]net
NA,joja[.]ddns[.]net,ddns[.]net
NA,joseedward5001[.]ddns[.]net,ddns[.]net
NA,justinalwhitedd5544[.]duckdns[.]org,duckdns[.]org
NA,juuked[.]hopto[.]org,hopto[.]org
NA,kamuchehddhgfgf[.]ddns[.]net,ddns[.]net
NA,kasawulli845nano[.]ddns[.]net,ddns[.]net
NA,kashbilly[.]ddns[.]net,ddns[.]net
NA,kenimaf[.]duckdns[.]org,duckdns[.]org
NA,kenzeey[.]duckdns[.]org,duckdns[.]org
NA,kevin[.]ydns[.]eu,ydns[.]eu
NA,kraldeli[.]linkpc[.]net,linkpc[.]net
NA,kris119[.]duckdns[.]org,duckdns[.]org
NA,lizaelock[.]ddns[.]net,ddns[.]net
NA,loamy221[.]sytes[.]net,sytes[.]net
NA,lowspeed[.]ddns[.]net,ddns[.]net
NA,malubulule[.]ddns[.]net,ddns[.]net
NA,mansengco778[.]ddns[.]net,ddns[.]net
NA,maxlogs[.]webhop[.]me,webhop[.]me
NA,mback5338[.]duckdns[.]org,duckdns[.]org
NA,mback53388[.]duckdns[.]org,duckdns[.]org
NA,mbahannanocore[.]ddns[.]net,ddns[.]net
NA,mec[.]sytes[.]net,sytes[.]net
NA,megalogs2022[.]duckdns[.]org,duckdns[.]org
NA,megida[.]hopto[.]org,hopto[.]org
NA,mek123[.]ddns[.]net,ddns[.]net
NA,meki24[.]ddns[.]net,ddns[.]net
NA,mercydylan55[.]hopto[.]org,hopto[.]org
NA,michspencer[.]ddnsfree[.]com,ddnsfree[.]com
NA,milkway12[.]ddns[.]net,ddns[.]net
NA,mondayomo[.]duckdns[.]org,duckdns[.]org
NA,moonje19870506[.]bounceme[.]net,bounceme[.]net
NA,mpdeal[.]duckdns[.]org,duckdns[.]org
NA,mphanks[.]ddns[.]com,ddns[.]com
NA,mynewvirom[.]duckdns[.]org,duckdns[.]org
NA,naki[.]airdns[.]org,airdns[.]org
NA,nan21[.]duckdns[.]org,duckdns[.]org
NA,naninano123[.]ddns[.]net,ddns[.]net
NA,nanltd[.]duckdns[.]org,duckdns[.]org
NA,nano8000[.]duckdns[.]org,duckdns[.]org
NA,nanoboss[.]duckdns[.]org,duckdns[.]org
NA,neoncorex[.]duckdns[.]org,duckdns[.]org
NA,newhost1144[.]ddns[.]net,ddns[.]net
NA,newjan[.]duckdns[.]org,duckdns[.]org
NA,newme1122[.]3utilities[.]com,3utilities[.]com
NA,newme12[.]3utilities[.]com,3utilities[.]com
NA,newme122[.]3utilities[.]com,3utilities[.]com
NA,newmeforever[.]3utilities[.]com,3utilities[.]com
NA,newnano03[.]ddns[.]net,ddns[.]net
NA,norly519[.]ddns[.]net,ddns[.]net
NA,nosee[.]publicvm[.]com,publicvm[.]com
NA,novacomm[.]duckdns[.]org,duckdns[.]org
NA,nsayers4rm382[.]bounceme[.]net,bounceme[.]net
NA,nybenspyhost[.]duckdns[.]org,duckdns[.]org
